,년,월,일,시간,건구온도 (℃),건구온도_불확도 (℃),이슬점온도 (℃),이슬점온도_불확도 (℃),상대습도 (%),상대습도_불확도 (%),표면기압 (hPa),표면기압_불확도 (hPa),풍속 (m/s),풍속_불확도 (m/s),수평면 전일사량 (Wh/m²),수평면 전일사량_불확도 (Wh/m²)
0,2016,1,1,0,-3.7,2.4,-10.0,1.7,65,7.8,1004.5,1.5,2.6,1.0,0,0
1,2016,1,1,1,-3.6,2.4,-9.2,1.7,68,8.2,1006.0,1.5,2.4,0.9,0,0
2,2016,1,1,2,-3.5,2.4,-8.4,1.7,71,8.5,1007.5,1.5,2.2,0.8,0,0
3,2016,1,1,3,-3.3,2.4,-7.7,1.7,74,8.9,1009.1,1.5,1.9,0.7,0,0
4,2016,1,1,4,-3.2,2.4,-6.9,1.7,78,9.4,1010.6,1.5,1.7,0.6,0,0
5,2016,1,1,5,-3.0,2.4,-6.1,1.7,81,9.7,1012.1,1.5,1.5,0.6,0,0
6,2016,1,1,6,-2.9,2.4,-5.3,1.7,84,10.1,1013.6,1.5,1.3,0.5,0,0
7,2016,1,1,7,-3.2,2.4,-5.4,1.7,85,10.2,1014.0,1.5,1.4,0.5,0,0
8,2016,1,1,8,-2.9,2.4,-5.2,1.7,84,10.1,1014.3,1.5,1.3,0.5,0,0
9,2016,1,1,9,-1.1,2.4,-3.8,1.7,82,9.8,1014.3,1.5,1.0,0.4,175,12
10,2016,1,1,10,1.5,2.4,-4.3,1.7,65,7.8,1014.4,1.5,2.1,0.8,328,23
11,2016,1,1,11,2.7,2.4,-4.7,1.7,58,7.0,1014.2,1.5,2.6,1.0,444,31
12,2016,1,1,12,3.6,2.4,-4.8,1.7,54,6.5,1013.5,1.5,2.7,1.0,506,35
13,2016,1,1,13,4.4,2.4,-4.2,1.7,54,6.5,1012.1,1.5,2.7,1.0,505,35
14,2016,1,1,14,4.9,2.4,-4.1,1.7,52,6.2,1011.4,1.5,2.6,1.0,442,31
15,2016,1,1,15,5.0,2.4,-4.0,1.7,52,6.2,1010.8,1.5,2.4,0.9,326,23
16,2016,1,1,16,4.2,2.4,-3.8,1.7,56,6.7,1010.2,1.5,2.0,0.7,154,11
17,2016,1,1,17,2.9,2.4,-3.5,1.7,63,7.6,1010.3,1.5,1.6,0.6,21,1
18,2016,1,1,18,1.2,2.4,-3.3,1.7,72,8.6,1010.6,1.5,1.6,0.6,10,1
19,2016,1,1,19,-0.2,2.4,-3.3,1.7,80,9.6,1011.0,1.5,1.6,0.6,10,1
20,2016,1,1,20,-0.7,2.4,-3.3,1.7,83,10.0,1010.8,1.5,1.4,0.5,0,0
21,2016,1,1,21,-0.9,2.4,-3.4,1.7,83,10.0,1010.8,1.5,1.3,0.5,0,0
22,2016,1,1,22,-0.8,2.4,-3.3,1.7,83,10.0,1010.4,1.5,1.2,0.4,0,0
23,2016,1,1,23,-0.4,2.4,-2.9,1.7,83,10.0,1010.2,1.5,1.0,0.4,0,0
24,2016,1,2,0,-0.1,2.4,-2.6,1.7,83,10.0,1010.0,1.5,0.9,0.3,0,0
25,2016,1,2,1,-0.0,2.4,-2.3,1.7,85,10.2,1009.5,1.5,0.8,0.3,0,0
26,2016,1,2,2,-0.1,2.4,-2.1,1.7,86,10.3,1009.2,1.5,0.9,0.3,0,0
27,2016,1,2,3,-0.1,2.4,-2.0,1.7,87,10.4,1008.8,1.5,0.9,0.3,0,0
28,2016,1,2,4,0.7,2.4,-2.0,1.7,82,9.8,1008.3,1.5,0.5,0.2,0,0
29,2016,1,2,5,0.5,2.4,-1.9,1.7,84,10.1,1007.8,1.5,0.7,0.3,0,0
